time,Name,ID,Weight Difference (kg),Refill to Weight (kg),Do-Track
1618401600,egg,1123,0.12,0.6,TRUE
1618401601,salt,2047,0.005,0.1,TRUE
1618401602,milk,1077,0.2,1,TRUE
1618416000,beef,23232,0.5,1,FALSE
1618416001,salt,2047,0.005,-,TRUE
1618416002,pepper,1002030,0.004,0.5,TRUE
1618416003,bread,18064,0.3,1,TRUE
1618437600,chicken wings,5100,0.4,1,FALSE
1618437601,salt,2047,0.005,0.8,TRUE
1618437602,pepper,1002030,0.004,-,TRUE
1618437603,rice,20444,0.2,10,TRUE
1618488000,egg,1123,0.12,-,TRUE
1618488001,salt,2047,0.005,-,TRUE
1618488002,yogurt,1116,0.1,1,TRUE
1618502400,chicken wings,5100,0.5,-,FALSE
1618502401,salt,2047,0.005,-,TRUE
1618502402,tomato,11529,0.3,1,FALSE
1618502403,bread,18064,0.3,-,TRUE
1618524000,shrimp,15152,0.4,1,FALSE
1618524001,salt,2047,0.005,-,TRUE
1618524002,pepper,1002030,0.004,-,TRUE
1618524003,spaghetti,12520420,0.2,1,FALSE
1618574402,milk,1077,0.3,-,TRUE
1618574402,yogurt,1116,0.2,-,TRUE
1618574403,bread,18064,0.3,-,TRUE
1618574404,chocolate,19081,0.01,0.1,TRUE
1618588802,beef,23232,0.4,-,FALSE
1618588803,salt,2047,0.005,-,TRUE
1618588804,tomato,11529,0.3,-,FALSE
1618610402,rice,20444,0.4,-,TRUE
1618610403,chicken wings,5100,0.5,1,FALSE
1618610404,bread,18064,0.3,1,TRUE
1618660802,milk,1077,0.3,-,TRUE
1618660804,chocolate,19081,0.02,-,TRUE
1618660805,tomato,11529,0.3,-,FALSE
1618660806,bread,18064,0.2,-,TRUE
1618675204,egg,1123,0.12,-,TRUE
1618675205,salt,2047,0.005,-,TRUE
1618675206,spaghetti,12520420,0.2,-,FALSE
1618696804,beef,23232,0.4,1,FALSE
1618696805,pepper,1002030,0.004,-,TRUE
1618696806,salt,2047,0.005,-,TRUE
1618747202,milk,1077,0.3,1,TRUE
1618747206,egg,1123,0.12,-,TRUE
1618747207,salt,2047,0.005,-,TRUE
1618747208,pepper,1002030,0.004,-,TRUE
1618761606,shrimp,15152,0.4,-,FALSE
1618761607,rice,20444,0.4,-,TRUE
1618761608,salt,2047,0.005,-,TRUE
1618783206,spaghetti,12520420,0.2,1,FALSE
1618783207,beef,23232,0.4,-,FALSE
1618783208,salt,2047,0.005,-,TRUE
1618833608,egg,1123,0.12,0.6,TRUE
1618833609,chocolate,19081,0.02,-,TRUE
1618833610,bread,18064,0.3,-,TRUE
1618848008,chicken wings,5100,0.5,-,FALSE
1618848009,salt,2047,0.005,-,TRUE
1618848010,pepper,1002030,0.004,-,TRUE
1618869605,milk,1077,0.4,-,TRUE
1618869608,tomato,11529,0.3,1,FALSE
1618869609,rice,20444,0.4,-,TRUE
1618869610,beef,23232,0.4,1,FALSE
1618920010,chocolate,19081,0.02,-,TRUE
1618920011,salt,2047,0.005,-,TRUE
1618920012,egg,1123,0.12,-,TRUE
1618934410,tomato,11529,0.3,-,FALSE
1618934411,shrimp,15152,0.4,1,FALSE
1618934412,rice,20444,0.4,-,TRUE
1618956010,chicken wings,5100,0.5,1,FALSE
1618956011,salt,2047,0.005,-,TRUE
1618956012,spaghetti,12520420,0.2,-,FALSE